HigherSeed,HigherSeedID,HigherSeedNum,LowerSeed,LowerSeedID,LowerSeedNum,Predictions,T1_OffRating,T2_OffRating,T1_DefRating,T2_DefRating,T1_tempo,T2_tempo,T1_fgEff,T2_fgEff,T1_ftRate,T2_ftRate,T1_wab,T2_wab,T1_talent,T2_talent,T1_sos,T2_sos,T1_Threepg,T2_Threepg,T1_FTPG,T2_FTPG,T1_PDiffPG,T2_PDiffPG,T1_effHeight,T2_effHeight,T1_var,T2_var,T1_threesShare,T2_threesShare,T1_recentPom,T2_recentPom,offRatingDiff,defRatingDiff,talentDiff,sosDiff,fgEffDiff,ftRateDiff,wabDiff,threepgDiff,ftpgDiff,pDiffpgDiff,tempoDiff,effHeightDiff,varDiff,threesShareDiff,recentPomDiff,offRating_x_tempo,talent_x_sos,defRating_x_tempo,Seed_Diff,T1_seed,T2_seed,historic_upset
Alabama,1104,4,Akron,1103,12,,3.0,54.0,67.0,113.0,73.1,70.3,55.3842504743833,58.4623065401897,37.1916508538899,29.0564153769346,6.5,-0.2,73.555,12.8,40.729,11.162,12.65625,10.875,18.75,13.6875,8.25,12.375,81.103,77.931,81.103,77.931,53.7,45.1,-3.0,0.0,-51.0,-46.0,60.75500000000001,29.567,-3.0780560658064005,8.135235476955298,6.7,1.78125,5.0625,-4.125,2.799999999999997,3.171999999999997,3.171999999999997,8.600000000000001,-3.0,-142.79999999999984,1796.3430850000002,-128.79999999999987,-8,4,12,0
Arizona,1112,1,Akron,1103,12,,5.0,54.0,3.0,113.0,69.8,70.3,55.0507491541808,58.4623065401897,42.8709521507975,29.0564153769346,13.7,-0.2,73.506,12.8,38.751,11.162,5.882352941176471,10.875,19.147058823529413,13.6875,17.352941176470587,12.375,81.866,77.931,81.866,77.931,26.8,45.1,1.0,0.0,-49.0,-110.0,60.706,27.589,-3.4115573860089015,13.814536773862901,13.899999999999999,-4.992647058823529,5.459558823529413,4.977941176470587,-0.5,3.9350000000000023,3.9350000000000023,-18.3,1.0,24.5,1674.817834,55.0,-11,1,12,0
Arkansas,1116,4,Akron,1103,12,,6.0,54.0,48.0,113.0,71.0,70.3,56.2617702448211,58.4623065401897,36.6760828625235,29.0564153769346,7.5,-0.2,80.525,12.8,38.371,11.162,8.323529411764707,10.875,17.441176470588236,13.6875,9.852941176470589,12.375,81.43,77.931,81.43,77.931,33.4,45.1,-5.0,0.0,-48.0,-65.0,67.72500000000001,27.209000000000003,-2.2005362953686003,7.619667485588902,7.7,-2.5514705882352935,3.7536764705882355,-2.5220588235294112,0.7000000000000028,3.4990000000000094,3.4990000000000094,-11.700000000000003,-5.0,-33.600000000000136,1842.7295250000004,-45.500000000000185,-8,4,12,0
BYU,1140,6,Akron,1103,12,,10.0,54.0,57.0,113.0,69.9,70.3,54.6528105810109,58.4623065401897,34.1521020311762,29.0564153769346,4.5,-0.2,48.949,12.8,38.234,11.162,8.647058823529411,10.875,15.852941176470589,13.6875,8.588235294117647,12.375,80.916,77.931,80.916,77.931,39.8,45.1,1.0,0.0,-44.0,-56.0,36.149,27.072000000000003,-3.809495959178804,5.0956866542416,4.7,-2.2279411764705888,2.1654411764705888,-3.7867647058823533,-0.3999999999999915,2.9849999999999994,2.9849999999999994,-5.300000000000004,1.0,17.599999999999625,978.6257280000001,22.399999999999523,-6,6,12,0
Akron,1103,12,Cal Baptist,1465,13,,54.0,191.0,113.0,50.0,70.3,65.8,58.4623065401897,48.5947879407256,29.0564153769346,36.1267245784364,-0.2,-2.3,12.8,1.476,11.162,12.593,10.875,6.424242424242424,13.6875,15.393939393939394,12.375,5.454545454545454,77.931,81.394,77.931,81.394,45.1,32.1,0.0,-17.0,-137.0,63.0,11.324000000000002,-1.4309999999999992,9.867518599464098,-7.070309201501804,2.0999999999999996,4.450757575757576,-1.7064393939393945,6.920454545454546,4.5,-3.463000000000008,-3.463000000000008,13.0,17.0,-616.5,-16.20464399999999,283.5,-1,12,13,0
Clemson,1155,8,Akron,1103,12,,71.0,54.0,20.0,113.0,64.2,70.3,52.6219192448873,58.4623065401897,37.1263765076036,29.0564153769346,3.2,-0.2,43.89,12.8,31.538,11.162,8.205882352941176,10.875,15.117647058823529,13.6875,7.411764705882353,12.375,81.538,77.931,81.538,77.931,42.9,45.1,7.0,0.0,17.0,-93.0,31.09,20.375999999999998,-5.840387295302399,8.069961130669004,3.4000000000000004,-2.6691176470588243,1.430147058823529,-4.963235294117647,-6.099999999999994,3.6069999999999993,3.6069999999999993,-2.200000000000003,7.0,-103.6999999999999,633.48984,567.2999999999995,-4,8,12,0
Connecticut,1163,2,Akron,1103,12,,30.0,54.0,11.0,113.0,64.4,70.3,55.3410230692076,58.4623065401897,29.9899699097292,29.0564153769346,8.8,-0.2,84.266,12.8,33.294,11.162,8.323529411764707,10.875,12.588235294117647,13.6875,12.382352941176471,12.375,81.367,77.931,81.367,77.931,40.3,45.1,4.0,0.0,-24.0,-102.0,71.46600000000001,22.131999999999998,-3.1212834709820996,0.9335545327946022,9.0,-2.5514705882352935,-1.0992647058823533,0.007352941176471006,-5.8999999999999915,3.436000000000007,3.436000000000007,-4.800000000000004,4.0,141.5999999999998,1581.685512,601.7999999999992,-10,2,12,0
Duke,1181,1,Akron,1103,12,,4.0,54.0,2.0,113.0,65.3,70.3,56.7724068479355,58.4623065401897,37.7643504531722,29.0564153769346,13.7,-0.2,91.161,12.8,38.433,11.162,9.088235294117647,10.875,15.970588235294118,13.6875,19.147058823529413,12.375,81.378,77.931,81.378,77.931,44.4,45.1,-2.0,0.0,-50.0,-111.0,78.361,27.271,-1.6898996922542011,8.7079350762376,13.899999999999999,-1.7867647058823533,2.2830882352941178,6.772058823529413,-5.0,3.4470000000000027,3.4470000000000027,-0.7000000000000028,-2.0,250.0,2136.9828310000003,555.0,-11,1,12,0
Florida,1196,1,Akron,1103,12,,9.0,54.0,6.0,113.0,70.5,70.3,53.5546139359699,58.4623065401897,39.0772128060264,29.0564153769346,8.5,-0.2,41.689,12.8,39.255,11.162,7.363636363636363,10.875,17.848484848484848,13.6875,14.787878787878787,12.375,83.084,77.931,83.084,77.931,37.1,45.1,-3.0,0.0,-45.0,-107.0,28.889,28.093000000000004,-4.907692604219804,10.020797429091804,8.7,-3.5113636363636367,4.160984848484848,2.412878787878787,0.20000000000000284,5.153000000000006,5.153000000000006,-8.0,-3.0,-9.000000000000128,811.5786770000001,-21.400000000000304,-11,1,12,0
Akron,1103,12,Furman,1202,15,,54.0,200.0,113.0,181.0,70.3,65.9,58.4623065401897,54.7929665343165,29.0564153769346,32.1043675553035,-0.2,-8.7,12.8,11.546,11.162,7.376,10.875,8.774193548387096,13.6875,12.741935483870968,12.375,2.903225806451613,77.931,81.426,77.931,81.426,45.1,46.3,0.0,2.0,-146.0,-68.0,1.2540000000000013,3.7860000000000005,3.6693400058732024,-3.0479521783688988,8.5,2.100806451612904,0.945564516129032,9.471774193548388,4.3999999999999915,-3.4950000000000045,-3.4950000000000045,-1.1999999999999957,-2.0,-642.3999999999987,4.7476440000000055,-299.1999999999994,-3,12,15,0
